X Y Z Dir_X Dir_Y Dir_Z Dip_Direction Dip M K T n(T)
2610869 1146339 2023 0.9452 -0.3009 0.1270 107.66 82.70 7.14 1.70 15 447 
2610869 1146341 2025 0.9440 -0.3027 0.1315 107.78 82.45 7.12 1.70 15 447 
2610869 1146343 2026 0.9430 -0.3042 0.1352 107.88 82.23 7.13 1.69 15 447 
2610871 1146345 2028 0.9418 -0.3059 0.1396 107.99 81.98 7.11 1.69 15 447 
2610871 1146347 2030 0.9407 -0.3075 0.1435 108.10 81.75 7.10 1.69 15 447 
2610873 1146349 2032 0.9393 -0.3093 0.1482 108.23 81.48 7.09 1.68 15 447 
2610873 1146351 2034 0.9381 -0.3111 0.1526 108.35 81.22 7.08 1.68 15 447 
2610873 1146353 2035 0.9366 -0.3129 0.1574 108.48 80.95 7.07 1.68 15 447 
2610875 1146355 2039 0.9351 -0.3149 0.1626 108.61 80.64 7.07 1.67 15 447 
2610875 1146357 2040 0.9334 -0.3170 0.1683 108.76 80.31 7.07 1.67 15 447 
2610877 1146359 2042 0.9317 -0.3189 0.1736 108.90 80.00 7.07 1.65 15 447 
2610877 1146361 2043 0.9300 -0.3209 0.1791 109.04 79.68 7.07 1.65 15 447 
2610877 1146363 2045 0.9282 -0.3230 0.1847 109.19 79.36 7.08 1.63 15 447 
2610879 1146365 2048 0.9263 -0.3251 0.1905 109.34 79.02 7.08 1.63 15 447 
2610879 1146367 2049 0.9245 -0.3270 0.1957 109.48 78.71 7.08 1.62 15 447 
2610881 1146369 2052 0.9227 -0.3290 0.2011 109.62 78.40 7.08 1.61 15 447 
2610881 1146371 2055 0.9207 -0.3311 0.2067 109.78 78.07 7.09 1.60 15 447 
2610881 1146373 2057 0.9186 -0.3332 0.2125 109.94 77.73 7.09 1.60 15 447 
2610883 1146375 2061 0.9167 -0.3352 0.2176 110.08 77.43 7.10 1.59 15 447 
2610883 1146377 2063 0.9147 -0.3372 0.2229 110.24 77.12 7.10 1.59 15 447 
2610883 1146379 2065 0.9125 -0.3392 0.2285 110.39 76.79 7.11 1.58 15 447 
2610885 1146381 2068 0.9104 -0.3412 0.2338 110.55 76.48 7.12 1.56 15 447 
2610885 1146383 2069 0.9086 -0.3430 0.2384 110.68 76.21 7.13 1.55 15 447 
2610885 1146385 2069 0.9067 -0.3448 0.2428 110.82 75.95 7.13 1.55 15 447 
2610887 1146387 2068 0.9050 -0.3464 0.2468 110.95 75.71 7.14 1.53 15 447 
2610887 1146389 2065 0.9033 -0.3481 0.2507 111.07 75.48 7.14 1.53 15 447 
2610887 1146391 2064 0.9019 -0.3495 0.2539 111.19 75.29 7.14 1.52 15 447 
2610889 1146393 2065 0.9005 -0.3510 0.2569 111.30 75.12 7.14 1.52 15 447 
2610889 1146395 2063 0.8991 -0.3524 0.2596 111.40 74.95 7.14 1.52 15 447 
2610889 1146397 2063 0.8977 -0.3539 0.2625 111.52 74.78 7.13 1.51 15 447 
2610889 1146399 2062 0.8965 -0.3552 0.2649 111.61 74.64 7.13 1.51 15 447 
2610889 1146401 2061 0.8953 -0.3565 0.2672 111.71 74.50 7.12 1.51 15 447 
2610891 1146403 2062 0.8942 -0.3577 0.2692 111.80 74.38 7.12 1.51 15 447 
2610891 1146405 2061 0.8930 -0.3590 0.2714 111.90 74.25 7.11 1.51 15 447 
2610891 1146407 2060 0.8919 -0.3602 0.2735 111.99 74.13 7.11 1.50 15 447 
2610891 1146409 2060 0.8907 -0.3614 0.2758 112.09 73.99 7.10 1.50 15 447 
2610891 1146411 2059 0.8897 -0.3626 0.2776 112.17 73.88 7.10 1.49 15 447 
2610893 1146413 2060 0.8885 -0.3638 0.2796 112.27 73.76 7.10 1.49 15 447 
2610893 1146415 2059 0.8876 -0.3649 0.2812 112.35 73.67 7.10 1.49 15 447 
2610893 1146417 2057 0.8865 -0.3660 0.2829 112.44 73.57 7.08 1.49 15 447 
2610893 1146419 2056 0.8857 -0.3672 0.2842 112.52 73.49 7.08 1.49 15 447 
2610895 1146421 2056 0.8847 -0.3684 0.2857 112.61 73.40 7.07 1.49 15 447 
2610895 1146423 2054 0.8839 -0.3694 0.2867 112.68 73.34 7.07 1.49 15 447 
2610895 1146425 2053 0.8830 -0.3705 0.2881 112.76 73.26 7.05 1.50 15 447 
2610895 1146427 2052 0.8823 -0.3715 0.2890 112.83 73.20 7.05 1.50 15 447 
2610897 1146429 2053 0.8815 -0.3725 0.2901 112.91 73.14 7.04 1.50 15 447 
2610897 1146431 2053 0.8809 -0.3735 0.2909 112.98 73.09 7.03 1.51 15 447 
2610899 1146433 2056 0.8802 -0.3743 0.2918 113.04 73.03 7.01 1.52 15 447 
2610899 1146435 2057 0.8791 -0.3751 0.2940 113.11 72.90 6.99 1.54 15 447 
2610899 1146437 2059 0.8783 -0.3758 0.2954 113.17 72.82 6.97 1.57 15 447 
2610901 1146439 2062 0.8772 -0.3767 0.2978 113.24 72.67 6.94 1.60 15 447 
2610901 1146441 2063 0.8760 -0.3774 0.3002 113.31 72.53 6.93 1.64 15 447 
2610903 1146443 2066 0.8747 -0.3783 0.3031 113.39 72.36 6.90 1.67 15 447 
2610903 1146445 2068 0.8739 -0.3792 0.3041 113.45 72.30 6.87 1.71 15 447 
2610903 1146447 2067 0.8733 -0.3799 0.3049 113.51 72.25 6.85 1.74 15 447 
2610905 1146449 2068 0.8726 -0.3808 0.3059 113.58 72.19 6.82 1.79 15 447 
2610905 1146451 2065 0.8724 -0.3816 0.3054 113.62 72.22 6.80 1.82 15 447 
2610907 1146453 2066 0.8722 -0.3824 0.3051 113.68 72.24 6.78 1.86 15 447 
2610907 1146455 2061 0.8720 -0.3832 0.3047 113.72 72.26 6.76 1.90 15 447 
2610907 1146457 2056 0.8722 -0.3840 0.3031 113.76 72.35 6.73 1.94 15 447 
2610909 1146459 2064 0.8724 -0.3849 0.3014 113.81 72.46 6.71 1.99 15 447 
2610909 1146461 2066 0.8726 -0.3857 0.2996 113.84 72.57 6.68 2.04 15 447 
2610911 1146463 2077 0.8729 -0.3865 0.2977 113.88 72.68 6.66 2.09 15 447 
2610911 1146465 2074 0.8736 -0.3873 0.2945 113.91 72.87 6.64 2.13 15 447 
2610911 1146467 2070 0.8744 -0.3881 0.2913 113.94 73.06 6.62 2.18 15 447 
2610913 1146469 2069 0.8750 -0.3889 0.2884 113.96 73.24 6.61 2.22 15 447 
